label,precision,recall,f1,benchmark,model_id,doc_id
Адрес регистрации.город,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Адрес регистрации.дом,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Адрес регистрации.квартира,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Адрес регистрации.улица,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Адрес фактического проживания.город,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Адрес фактического проживания.дом,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Адрес фактического проживания.квартира,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Адрес фактического проживания.улица,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Год рождения,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Гражданство,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Дата рождения,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Должность на работе,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
ИНН,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Количество иждивенцев,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Место работы,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Наличие автомобиля,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Наличие кредитов/займов,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Наличие недвижимости,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Номер мобильного телефона,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Пол,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
СНИЛС,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Семейное положение,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Серия и номер паспорта,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Фамилия,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,1
Дата рождения,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,2
Должность на работе,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,2
ИНН,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,2
Имя,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,2
Количество иждивенцев,0.0,0.0,0.0,ru-bank-ie,LiquidAI/LFM2-1.2B-Extract,2
