label,precision,recall,f1,benchmark,model_id,doc_id
Адрес регистрации.город,1.0,1.0,1.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Адрес регистрации.дом,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Адрес регистрации.квартира,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Адрес регистрации.улица,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Адрес фактического проживания.город,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Адрес фактического проживания.дом,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Адрес фактического проживания.квартира,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Адрес фактического проживания.улица,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Год рождения,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Гражданство,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Дата рождения,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Должность на работе,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Имя,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Количество иждивенцев,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Место работы,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Наличие автомобиля,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Наличие кредитов/займов,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Наличие недвижимости,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Номер мобильного телефона,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Пол,1.0,1.0,1.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
СНИЛС,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Семейное положение,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Серия и номер паспорта,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Фамилия,1.0,1.0,1.0,ru-bank-ie,Qwen/Qwen3-1.7B,1
Адрес регистрации.город,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Адрес регистрации.дом,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Адрес регистрации.улица,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Дата рождения,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
ИНН,1.0,1.0,1.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Имя,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Количество иждивенцев,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Место рождения,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Наличие кредитов/займов,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Пол,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
СНИЛС,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Фамилия,1.0,1.0,1.0,ru-bank-ie,Qwen/Qwen3-1.7B,2
Адрес регистрации.город,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Адрес регистрации.дом,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Адрес регистрации.улица,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Гражданство,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Дата выдачи паспорта,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Имя,1.0,1.0,1.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Количество иждивенцев,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Наличие автомобиля,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Пол,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Стаж работы.лет,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Стаж работы.месяцев,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Фамилия,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,3
Дата выдачи паспорта,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,4
Код подразделения,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,4
Количество иждивенцев,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,4
Адрес электронной почты,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
Год рождения,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
Гражданство,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
Ежемесячный доход,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
Кем выдан паспорт,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
Место работы,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
Место рождения,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
Наличие автомобиля,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
Пол,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
СНИЛС,0.0,0.0,0.0,ru-bank-ie,Qwen/Qwen3-1.7B,5
